epoch,train_loss,valid_loss,lr,weighted_rmse,weighted_mae,mae,rmse
0,636.3659156132223,415.5278039550781,0.001,21.27389907836914,18.193418502807617,18.106447219848633,21.13945198059082
1,535.2359656927214,413.05235778808594,0.001,21.21043586730957,17.86245346069336,17.787630081176758,21.114288330078125
2,532.7624337262484,392.6124597167969,0.001,20.678977966308594,17.632272720336914,17.586702346801758,20.61871910095215
3,534.3805168420226,391.167958984375,0.001,20.640901565551758,17.896867752075195,17.787700653076172,20.4968318939209
4,530.4671815866442,391.11552490234374,0.001,20.6395206451416,18.13605499267578,17.819244384765625,20.246437072753906
5,545.7091912197707,383.38642578125,0.001,20.4345645904541,17.751497268676758,17.533710479736328,20.149364471435547
6,589.9527790073414,391.9842102050781,0.001,20.66242790222168,17.68088722229004,17.61298179626465,20.561532974243164
7,581.1734902540044,510.9786083984375,0.001,23.59111213684082,19.371192932128906,19.954160690307617,24.187273025512695
8,575.6999232735945,434.18286071777345,0.001,21.746200561523438,18.318708419799805,18.56489372253418,21.991243362426758
9,559.7607088420618,418.37975219726565,0.001,21.346778869628906,18.317733764648438,17.93897247314453,20.88776206970215
10,547.8381343239636,387.71201171875,0.001,20.549518585205078,17.594568252563477,17.652956008911133,20.574575424194336
11,567.618936798249,441.79590393066405,0.001,21.936023712158203,18.396394729614258,18.860322952270508,22.442588806152344
12,546.8196420334092,400.32239990234376,0.001,20.881032943725586,18.13764190673828,17.911588668823242,20.584306716918945
13,522.3260755437343,382.06201538085935,0.001,20.399242401123047,17.577709197998047,17.492908477783203,20.27297019958496
14,545.7068850600659,394.2384033203125,0.001,20.721755981445312,17.87181854248047,17.829200744628906,20.642337799072266
15,526.1412549564227,396.4690966796875,0.001,20.780296325683594,17.99443244934082,17.82273292541504,20.544981002807617
16,548.746377149419,381.7056518554688,0.001,20.38972282409668,17.71649742126465,17.717674255371094,20.364269256591797
17,563.9163598755496,394.00593627929686,0.001,20.71564483642578,18.079378128051758,17.753910064697266,20.318117141723633
18,565.7238678254554,407.08611083984374,0.001,21.05669593811035,18.346376419067383,17.842042922973633,20.48012351989746
19,569.2824305364715,395.98755126953125,0.001,20.767669677734375,18.184104919433594,17.97871208190918,20.506330490112305
20,551.5130006723068,390.49329956054686,0.001,20.623096466064453,18.05697250366211,17.832740783691406,20.343299865722656
21,530.6775351366206,389.2247888183594,0.001,20.589570999145508,17.943889617919922,17.633935928344727,20.213153839111328
22,536.9987384677293,373.4104296875,0.001,20.166954040527344,17.604209899902344,17.402931213378906,19.908761978149414
23,525.510698094967,386.85467529296875,0.001,20.52678680419922,17.74599838256836,17.585102081298828,20.306032180786133
24,536.737394418381,382.07484313964846,0.001,20.399581909179688,17.72821807861328,17.515064239501953,20.13020896911621
25,513.4868494817839,400.07627197265623,0.001,20.87461280822754,18.140460968017578,17.711462020874023,20.357177734375
26,528.1821150675252,389.76119323730467,0.001,20.6037540435791,18.014442443847656,17.713342666625977,20.22507095336914
27,502.2435250225738,390.66792236328126,0.001,20.627704620361328,17.981945037841797,17.630067825317383,20.199127197265625
28,524.3230291594692,389.63910522460935,0.001,20.600528717041016,18.023218154907227,17.6302433013916,20.12990951538086
29,511.43697491363065,394.6475573730469,0.001,20.732505798339844,18.090652465820312,17.727680206298828,20.292299270629883
30,508.2116364782899,389.1852758789062,0.001,20.588525772094727,17.894805908203125,17.512493133544922,20.122825622558594
31,505.28398439953673,392.6182116699219,0.0001,20.67913246154785,18.040708541870117,17.673809051513672,20.23110580444336
32,525.4645740420855,393.82459716796876,0.0001,20.71087646484375,18.08776092529297,17.73906898498535,20.282041549682617
33,521.4083935301508,395.56579833984375,0.0001,20.756610870361328,18.173986434936523,17.810272216796875,20.310638427734375
34,500.1236390693703,392.8526916503906,0.0001,20.685302734375,18.086734771728516,17.737581253051758,20.257461547851562
35,476.9350801860867,393.81969482421874,0.0001,20.71074676513672,18.093690872192383,17.751239776611328,20.291494369506836
36,492.64966031328515,397.1778405761719,0.0001,20.79886245727539,18.177541732788086,17.827030181884766,20.370885848999023
37,484.7915325897063,400.4993359375,0.0001,20.88564682006836,18.271438598632812,17.912675857543945,20.44607925415039
38,480.66206969908137,401.04283447265624,0.0001,20.89981460571289,18.325828552246094,17.99284553527832,20.490697860717773
39,484.9806536098461,401.3802209472656,1e-05,20.90860366821289,18.328954696655273,17.98725128173828,20.4898681640625
40,483.091580485435,401.11721069335937,1e-05,20.901752471923828,18.320117950439453,17.974163055419922,20.47855567932129
41,496.92992491755655,401.3867663574219,1e-05,20.908775329589844,18.329639434814453,17.98407554626465,20.486013412475586
42,497.0532332070509,401.093251953125,1e-05,20.9011287689209,18.32090950012207,17.97517967224121,20.478391647338867
43,493.8616641066661,400.4471008300781,1e-05,20.88428497314453,18.298969268798828,17.95624351501465,20.464534759521484
44,490.3923218632224,400.33607421875,1e-05,20.881391525268555,18.287485122680664,17.942934036254883,20.459030151367188
45,487.93073526813754,401.0065283203125,1e-05,20.89887046813965,18.300418853759766,17.949199676513672,20.469057083129883
46,490.7995153011149,400.407890625,1e-05,20.883262634277344,18.29746437072754,17.953227996826172,20.460962295532227
47,490.1713797012406,401.01094482421877,1.0000000000000002e-06,20.898983001708984,18.314693450927734,17.96621322631836,20.471879959106445
48,489.2015944468436,400.5906787109375,1.0000000000000002e-06,20.888029098510742,18.303159713745117,17.959182739257812,20.46595573425293
49,500.7574112260521,400.4519580078125,1.0000000000000002e-06,20.88441276550293,18.300735473632812,17.95639419555664,20.461896896362305
50,499.5448069939541,400.71977172851564,1.0000000000000002e-06,20.891395568847656,18.30829620361328,17.96172523498535,20.466272354125977
51,484.9889106420776,400.6922900390625,1.0000000000000002e-06,20.89067840576172,18.307392120361328,17.96144676208496,20.466293334960938
52,494.6764720575534,400.7662939453125,1.0000000000000002e-06,20.892606735229492,18.309595108032227,17.962482452392578,20.466949462890625
53,474.6963383322864,400.8080126953125,1.0000000000000002e-06,20.893695831298828,18.308504104614258,17.961071014404297,20.467723846435547
54,508.30229865146043,400.4344848632812,1.0000000000000002e-06,20.883956909179688,18.30032730102539,17.956684112548828,20.46220588684082
55,491.91258953458697,400.935615234375,1.0000000000000002e-07,20.897018432617188,18.313085556030273,17.966899871826172,20.472366333007812
56,510.06524161334016,400.61231689453126,1.0000000000000002e-07,20.888593673706055,18.3049373626709,17.959884643554688,20.465261459350586
57,489.67940451770573,400.72496215820314,1.0000000000000002e-07,20.891529083251953,18.30876922607422,17.96404457092285,20.468467712402344
58,485.8564480115421,401.12370239257814,1.0000000000000002e-07,20.90192222595215,18.318218231201172,17.96930503845215,20.474224090576172
59,477.3471095222205,400.9614892578125,1.0000000000000002e-07,20.897695541381836,18.31536293029785,17.967531204223633,20.471139907836914
60,481.19498100855844,400.72486206054685,1.0000000000000002e-07,20.891529083251953,18.30708885192871,17.960506439208984,20.466527938842773
61,491.9474688137955,400.99011596679685,1.0000000000000002e-07,20.898441314697266,18.314111709594727,17.967365264892578,20.473234176635742
62,504.2901475639918,401.05073974609377,1.0000000000000002e-07,20.900020599365234,18.314760208129883,17.965198516845703,20.471668243408203
63,505.9896877699042,400.6618115234375,1.0000000000000002e-07,20.88988494873047,18.30698585510254,17.962173461914062,20.466800689697266
64,497.89481526283765,400.81084716796875,1.0000000000000002e-07,20.893770217895508,18.30997657775879,17.962509155273438,20.46775245666504
65,490.32898508656564,400.6848486328125,1.0000000000000002e-07,20.890483856201172,18.30733871459961,17.962932586669922,20.467824935913086
66,511.54853518078676,400.5721923828125,1.0000000000000002e-07,20.887548446655273,18.304306030273438,17.95893096923828,20.463804244995117
67,495.70373378121076,400.70037109375,1.0000000000000002e-07,20.89089012145996,18.30645179748535,17.95952606201172,20.46544647216797
68,478.04822665573965,400.6592736816406,1.0000000000000002e-07,20.889816284179688,18.30661964416504,17.961427688598633,20.46627426147461
69,504.711554182043,401.09869140625,1.0000000000000002e-07,20.901269912719727,18.316665649414062,17.96703338623047,20.472801208496094
70,498.41236774693783,400.8190478515625,1.0000000000000002e-07,20.893983840942383,18.311487197875977,17.96588706970215,20.469932556152344
71,490.5643703870917,400.8060241699219,1.0000000000000002e-07,20.893644332885742,18.310380935668945,17.964271545410156,20.469057083129883
72,501.8055771778816,400.6958337402344,1.0000000000000002e-07,20.890771865844727,18.30657196044922,17.959808349609375,20.46552848815918
73,495.61493343180746,400.7873901367187,1.0000000000000002e-07,20.893156051635742,18.309768676757812,17.962589263916016,20.46741485595703
74,487.61279380299936,400.83890625,1.0000000000000002e-07,20.894500732421875,18.3114070892334,17.96597671508789,20.470670700073242
75,489.87160619994506,400.82941162109375,1.0000000000000002e-07,20.89425277709961,18.311079025268555,17.964496612548828,20.469135284423828
76,487.855833562343,400.69612670898437,1.0000000000000002e-07,20.890777587890625,18.30855941772461,17.96219825744629,20.46587371826172
77,510.73488524163787,400.8920849609375,1.0000000000000002e-07,20.89588737487793,18.311140060424805,17.96387481689453,20.470075607299805
78,504.32327619543025,400.8205078125,1.0000000000000002e-07,20.894020080566406,18.310420989990234,17.964426040649414,20.469562530517578
79,479.26523447314696,400.92126708984375,1.0000000000000002e-07,20.896648406982422,18.31348419189453,17.96485137939453,20.469205856323242
80,511.3826222911432,400.8203393554688,1.0000000000000002e-07,20.894014358520508,18.31040382385254,17.963523864746094,20.468637466430664
81,474.3417064816269,400.7441723632812,1.0000000000000002e-07,20.892032623291016,18.308671951293945,17.963953018188477,20.469039916992188
82,494.2291369199513,400.2794482421875,1.0000000000000002e-07,20.879915237426758,18.2963924407959,17.953845977783203,20.459373474121094
83,482.99378226582127,400.9333972167969,1.0000000000000002e-07,20.896961212158203,18.314298629760742,17.966297149658203,20.47026252746582
84,492.25448580794597,400.7741845703125,1.0000000000000002e-07,20.89281463623047,18.310302734375,17.964059829711914,20.468017578125
85,483.95591735533134,400.98402221679686,1.0000000000000002e-07,20.89828109741211,18.314510345458984,17.965938568115234,20.47098731994629
86,483.6397798563128,400.8915051269531,1.0000000000000002e-07,20.895870208740234,18.313461303710938,17.96542739868164,20.46910285949707
87,469.8430218229821,400.60386962890624,1.0000000000000002e-07,20.88837432861328,18.305835723876953,17.960247039794922,20.4643611907959
88,486.45507559771517,400.9657092285156,1.0000000000000002e-07,20.89780616760254,18.3159122467041,17.96918487548828,20.472492218017578
89,475.66190719221106,400.784052734375,1.0000000000000002e-07,20.893070220947266,18.3100528717041,17.962671279907227,20.46709632873535
90,492.26893405013345,400.7668151855469,1.0000000000000002e-07,20.892621994018555,18.30923843383789,17.963932037353516,20.468948364257812
91,478.16617273378614,400.6393127441406,1.0000000000000002e-07,20.889297485351562,18.305891036987305,17.96142578125,20.466577529907227
92,482.2393957090138,400.8613134765625,1.0000000000000002e-07,20.895084381103516,18.309906005859375,17.963533401489258,20.470285415649414
93,487.54093899674154,400.7651513671875,1.0000000000000002e-07,20.892578125,18.308008193969727,17.95978546142578,20.465686798095703
94,489.4770681041928,400.6884326171875,1.0000000000000002e-07,20.890579223632812,18.306241989135742,17.96026039123535,20.466201782226562
95,485.14684864753457,400.6201708984375,1.0000000000000002e-07,20.8887996673584,18.305017471313477,17.95940399169922,20.46480369567871
96,491.8325545451869,400.55468994140625,1.0000000000000002e-07,20.8870906829834,18.30474090576172,17.959848403930664,20.463857650756836
97,524.9544898810459,400.9718920898438,1.0000000000000002e-07,20.897966384887695,18.313631057739258,17.964656829833984,20.47020149230957
98,481.60128933240424,400.85871337890626,1.0000000000000002e-07,20.895015716552734,18.312057495117188,17.964309692382812,20.468605041503906
99,485.7433073080245,400.58546875,1.0000000000000002e-07,20.887893676757812,18.30655288696289,17.96232795715332,20.46535301208496
